,Company,constant,year,score,total,market_cap,growth,excess_return
127,CSX,1,2019,-1.1760609735565355,515,54366.5,-0.02555102040816326,-0.10821004684565838
128,CSX,1,2020,0.5408096225208331,3608,62836.5,-0.11342883471559018,0.10827040426755263
129,CSX,1,2021,0.44619712999506417,4083,76399.5,0.1832183690824909,-0.01872853544140063
130,CVS,1,2017,0.6331144932776809,2021,78800.0,0.040778164532008665,-0.25050793898195567
131,CVS,1,2018,1.3923220552527538,2827,79089.0,0.052996439124176176,-0.0131666680616348
132,CVS,1,2019,0.6538830891979717,1994,90689.0,0.3196490885450125,-0.11617957846179738
133,CVS,1,2020,-1.3075954143850435,0,93023.0,0.04646072841698601,-0.21399929238602144
134,CVS,1,2021,2.296909788669862,3216,112836.0,0.08710263261706097,0.2797637135861739
135,DentsplySirona,1,2017,-0.8483786823697258,497,14224.0,0.06622162883845117,-0.034942361364061814
136,DentsplySirona,1,2018,-0.7537661898439568,792,11700.5,-0.001753067868770386,-0.3709880549677923
137,DentsplySirona,1,2019,-0.7653042986885629,622,10433.5,0.010787757150025001,0.24265183737991602
138,DentsplySirona,1,2020,-0.3730085979719598,1043,12014.5,-0.1705137751303053,-0.22853164404438353
139,DentsplySirona,1,2021,0.5846544361303359,2718,11819.5,0.2719928186714542,-0.19981537375367786
140,Duke,1,2017,-0.7145366197722965,2222,56175.0,0.03614298905157631,-0.06773138478659058
141,Duke,1,2018,-0.6453079667046607,2407,60198.0,0.0405686399321028,0.15560995348666962
142,Duke,1,2019,-0.6037707748640793,2173,64008.0,0.022756005056890016,-0.18589873739365048
143,Duke,1,2020,-0.5968479095573157,2515,66939.5,-0.048287411778779044,-0.11487458339793966
144,Duke,1,2021,-0.31762567551785115,2794,74044.0,0.051491536785654324,-0.07781400060781518
145,EastmanChemicals,1,2017,-0.5922326660194733,2024,12176.0,0.060057726465364114,0.08826616884484606
146,EastmanChemicals,1,2018,-0.3014723231354028,2449,11776.5,0.06304325060215721,-0.1348813349485517
147,EastmanChemicals,1,2019,0.31927793270439847,4205,10508.5,-0.08649394148359768,-0.16871282833148715
148,EastmanChemicals,1,2020,-0.008404358482411112,4511,12183.0,-0.0862719723929688,0.15516086374216953
149,EastmanChemicals,1,2021,-0.2599351312948213,3456,14921.0,0.23639797002242413,-0.03353597913077744
150,Equinix,1,2017,-0.5345421217964434,1411,30484.0,0.20963721960675707,0.09611155383461156
151,Equinix,1,2018,-0.5091582823383103,1450,31899.5,0.16094322344322354,-0.12282635927444241
152,Equinix,1,2019,-0.6729994279317151,1252,39059.5,0.0968250838098994,0.3998323320925714
153,Equinix,1,2020,-0.6937680238520059,1432,56705.5,0.0783890686803308,0.07961203193663313
154,Equinix,1,2021,-0.684537536776321,1141,69897.0,0.1062020673557853,-0.07466699208553185
155,EsteeLauder,1,2017,-0.9891436102739187,427,37441.5,0.049902326407387676,0.483316312470625
156,EsteeLauder,1,2018,-0.9476064184333371,633,47030.5,0.15722259810554795,0.10101596550462177
157,EsteeLauder,1,2019,-1.1229856728713479,443,60761.0,0.08623839801213173,0.31466079554144066
158,EsteeLauder,1,2020,0.29389409324626536,2289,85285.0,-0.03828298459261248,0.13515175001689794
159,EsteeLauder,1,2021,0.8938757531657758,3476,114753.5,10.341471946271163,0.13142290096056386
160,FMC,1,2017,-0.5345421217964434,1602,10139.5,-0.002758077226162281,0.5058994384104794
161,FMC,1,2018,-0.5876174224816308,1474,11334.0,0.6930067167127618,-0.1484778166227485
162,FMC,1,2019,-0.458390603422044,1971,11448.5,0.07561260210035003,0.29733963048188894
163,FMC,1,2020,-0.3083951884421664,1749,13925.5,0.007159904534606243,0.010567522000185292
164,FMC,1,2021,-0.2991647013664816,1625,14421.0,0.0868160275743215,-0.29481074462430334
165,Goldman,1,2017,-0.9406835531265736,837,98189.0,0.0630074699577785,-0.11571917658940056
166,Goldman,1,2018,-0.8437634388318834,1149,79117.0,0.11872899480598842,-0.2675246001322146
167,Goldman,1,2019,-0.3937771938922506,1713,71776.5,-0.0019117325759231418,0.11600920385250468
168,Goldman,1,2020,-0.12840069046631322,2122,88013.0,0.2192852842992392,0.01194815406342764
169,Goldman,1,2021,1.1754056089741616,3169,111110.5,0.331665170556553,0.20718504817234673
170,Hasbro,1,2017,1.4130906511730446,3447,10550.0,0.037856146642757604,0.01376107197731935
171,Hasbro,1,2018,-1.0076045844252883,739,10792.5,-0.12094451910155501,-0.023773743709467277
172,Hasbro,1,2019,-1.016835071500973,741,12368.5,0.030792749508626427,0.0452798352574475
173,Hasbro,1,2020,-0.1745531258447371,1806,13618.5,0.15783898305084754,-0.2468201325048286
174,Hasbro,1,2021,-0.8114567340669867,994,13136.0,0.17474839890210436,-0.1578004319501305
175,Healthpeak,1,2017,-0.6937680238520059,1852,13071.0,-0.13198684828558005,-0.2700276767730053
176,Healthpeak,1,2018,-0.7768424075331688,1452,12785.0,-0.35551948051948057,0.21444093769467776
177,Healthpeak,1,2019,-0.6106936401708428,1586,15198.5,0.04869857262804356,0.002783284593019797
178,Healthpeak,1,2020,-0.2507046442191365,2079,16668.0,0.31625300240192145,-0.23944315383282855
179,Healthpeak,1,2021,-0.003789114944568723,2818,17865.0,0.15328467153284664,-0.031559504781698555
180,HenrySchein,1,2017,-0.8553015476764895,773,11589.5,-0.2323049001814882,-0.27728935129692367
181,HenrySchein,1,2018,-0.8806853871346225,481,11423.0,0.06011482607227281,0.16873672526563366
182,HenrySchein,1,2019,-0.6937680238520059,691,10824.0,0.06031644897525745,-0.20538789362311793
183,HenrySchein,1,2020,-0.22993604829884576,1518,9584.5,0.013420130195292979,-0.16049091840048169
184,HenrySchein,1,2021,0.443889508226143,1952,9895.0,0.22551635537108417,-0.10934021832862384
185,HewlettPackard,1,2017,0.6423449803533657,2382,31949.0,-0.046532364597093756,-0.08400414684344337
186,HewlettPackard,1,2018,0.28697122793950175,2498,23972.5,0.06861556579266392,-0.0021785509097357325
187,HewlettPackard,1,2019,0.33081604154900446,2746,19907.5,-0.05565279398418255,-0.05128898225343992
188,HewlettPackard,1,2020,0.5546553531343603,3423,16986.0,-0.07389737429208854,-0.38196287801780615
189,HewlettPackard,1,2021,0.7692641776440313,3050,18542.0,0.02972351938329254,0.10480477437603652
190,HomeDepot,1,2017,-0.15839977346228876,1952,1478.0,0.06669485702204137,0.2559862017711998
191,HomeDepot,1,2018,-0.24608940068129412,2035,1734.0,0.07233608182034401,0.004534528971950724
192,HomeDepot,1,2019,-0.06609490270544097,2300,905.5,0.01868709740025687,0.016817470489580266
193,HomeDepot,1,2020,0.46004286060859134,3224,982.0,0.19854842367883885,0.08242740378330793
194,HomeDepot,1,2021,1.3323238892608027,4626,2002.5,0.14417530845507542,0.3261328352301256
195,HormelFood,1,2017,-0.27378086190834844,2194,18729.5,-0.03738317757009346,-0.14274341164658044
196,HormelFood,1,2018,-0.13993879931091918,1904,20261.5,0.041234864186756814,0.2745584044825752
197,HormelFood,1,2019,-0.11224733808386486,1974,23710.0,-0.005028810895756908,-0.2102850196359427
198,HormelFood,1,2020,-0.14455404284876158,1875,24887.0,0.011687901442560822,-0.10872023696021249
199,HormelFood,1,2021,0.07697764696767308,2100,25072.0,0.18505412156536227,-0.19902295048865626
200,Howmet,1,2017,-1.192214325938984,258,10622.5,0.045667258350814866,0.2913214894222833
201,Howmet,1,2018,-1.0260655585766578,603,10631.5,-0.4770061728395062,-0.32255733384060703
202,Howmet,1,2019,-0.696075645620927,1531,10734.5,0.0472115668338744,0.5374895848774452
203,Howmet,1,2020,-0.7122289980033754,1262,12848.5,-0.25908706677937443,-0.23446855827286306
204,Howmet,1,2021,-0.35224000205166905,1923,12986.5,-0.05457311275907972,-0.15218954887251335
205,Intel,1,2017,1.5469327137704738,5040,193956.0,0.056813780793776525,0.16086038278175985
206,Intel,1,2018,0.5938849232060206,3806,214698.0,0.1288539060881757,0.09700881757140112
207,Intel,1,2019,0.7577260687994254,4034,237357.5,0.01576614724480585,0.018338889341554143
208,Intel,1,2020,1.2377113967350337,4834,227120.5,0.08201208921003267,-0.30947673910521023
209,Intel,1,2021,1.692312885212509,5297,200785.5,0.014858669269395275,-0.22252586992082857
210,IBM,1,2017,0.4900419436045669,4039,149949.5,-0.009759881880403887,-0.23193061953672867
211,IBM,1,2018,0.030825211589249193,2289,122685.0,0.005711469692566196,-0.15807489426929078
212,IBM,1,2019,-0.026865332633780666,2896,111007.0,-0.27486776143031244,-0.05033736421330581
213,IBM,1,2020,-0.03840344147838664,2356,115438.5,-0.04392348476972663,-0.17187280202671262
214,IBM,1,2021,-0.34993238028274787,1850,116016.0,0.03934467822903631,-0.10046250653469424
215,InternationalPaper,1,2017,0.15543678711099368,2656,22872.0,0.11531161836368309,-0.03342432710501009
216,InternationalPaper,1,2018,-0.9245302007441253,1353,20136.0,0.0718852044336109,-0.22779187324273809
217,InternationalPaper,1,2019,-1.2129829218592745,550,17202.0,-0.21406504762722045,-0.09097778269968182
218,InternationalPaper,1,2020,1.0461787899145747,3788,18801.0,-0.041054757875197856,-0.020811654685790826
219,InternationalPaper,1,2021,1.083100738217314,4000,18869.5,0.10236265300313119,-0.23251892498534832
220,InterpublicGroup,1,2017,0.5708087055168086,2641,8564.0,-0.0009938162544169682,-0.29588458787594085
221,InterpublicGroup,1,2018,0.5754239490546511,2759,7881.5,0.07372609704874544,0.12608272666585052
222,InterpublicGroup,1,2019,0.5015800524491728,3103,8443.0,0.052192711550339776,-0.11922251181972987
223,InterpublicGroup,1,2020,0.4531199953018277,3236,9065.5,-0.11349183054495648,-0.09049813240046367
224,InterpublicGroup,1,2021,0.5061952959870152,2923,11960.0,0.13011808851120188,0.3780104843879901
225,Invesco,1,2017,-0.9060692265927557,481,13635.0,0.17969821673525388,0.013985115301308415
